Date,Portfolio Value
2015-03-05 00:00:00+08:00,100000.0
2015-03-06 00:00:00+08:00,99639.18533415839
2015-03-09 00:00:00+08:00,99552.90238084957
2015-03-10 00:00:00+08:00,100984.29288053182
2015-03-11 00:00:00+08:00,100926.68197068073
2015-03-12 00:00:00+08:00,101092.04276140033
2015-03-13 00:00:00+08:00,101792.98543800529
2015-03-16 00:00:00+08:00,102459.62865131085
2015-03-17 00:00:00+08:00,104069.78138662741
2015-03-18 00:00:00+08:00,106999.5346995498
2015-03-19 00:00:00+08:00,109009.58839446245
2015-03-20 00:00:00+08:00,109820.12557562858
2015-03-23 00:00:00+08:00,110803.22908947713
2015-03-24 00:00:00+08:00,110907.45339879527
2015-03-25 00:00:00+08:00,110865.01817690326
2015-03-26 00:00:00+08:00,113669.33948765573
2015-03-27 00:00:00+08:00,113974.76913066467
2015-03-30 00:00:00+08:00,114177.36215247228
2015-03-31 00:00:00+08:00,116022.53320677491
2015-04-01 00:00:00+08:00,117337.66654130674
2015-04-02 00:00:00+08:00,117412.21361367617
2015-04-03 00:00:00+08:00,119348.80704105867
2015-04-07 00:00:00+08:00,121169.08367103107
2015-04-08 00:00:00+08:00,121997.55998634928
2015-04-09 00:00:00+08:00,122025.01297824088
2015-04-10 00:00:00+08:00,123211.03760045626
2015-04-13 00:00:00+08:00,124862.32170929865
2015-04-14 00:00:00+08:00,125300.28315403574
2015-04-15 00:00:00+08:00,124864.59222676734
2015-04-16 00:00:00+08:00,126588.36602033244
2015-04-17 00:00:00+08:00,127812.9323827593
2015-04-20 00:00:00+08:00,126757.31916378006
2015-04-21 00:00:00+08:00,130884.86206114772
2015-04-22 00:00:00+08:00,133374.93436875773
2015-04-23 00:00:00+08:00,137531.56981155492
2015-04-24 00:00:00+08:00,137263.67011570933
2015-04-27 00:00:00+08:00,138161.516956214
2015-04-28 00:00:00+08:00,138025.95761436157
2015-04-29 00:00:00+08:00,142288.3937912846
2015-04-30 00:00:00+08:00,142111.3237210885
2015-05-04 00:00:00+08:00,143998.07284933774
2015-05-05 00:00:00+08:00,143055.59482686213
2015-05-06 00:00:00+08:00,141153.02256494056
2015-05-07 00:00:00+08:00,138939.89505640208
2015-05-08 00:00:00+08:00,138307.48985895122
2015-05-11 00:00:00+08:00,137909.04901341102
2015-05-12 00:00:00+08:00,138304.935163154
2015-05-13 00:00:00+08:00,139055.02790520008
2015-05-14 00:00:00+08:00,138703.84650042673
2015-05-15 00:00:00+08:00,138412.3051862244
2015-05-18 00:00:00+08:00,137335.36507789706
2015-05-19 00:00:00+08:00,141327.41767695232
2015-05-20 00:00:00+08:00,142064.57218910157
2015-05-21 00:00:00+08:00,142267.69836438456
2015-05-22 00:00:00+08:00,143854.9682958025
2015-05-25 00:00:00+08:00,145727.94396094867
2015-05-26 00:00:00+08:00,148209.08757388915
2015-05-27 00:00:00+08:00,149081.0015382279
2015-05-28 00:00:00+08:00,148770.06152454368
2015-05-29 00:00:00+08:00,147588.95856862445
2015-06-01 00:00:00+08:00,150058.49354074782
2015-06-02 00:00:00+08:00,150151.29983195572
2015-06-03 00:00:00+08:00,150829.90485134136
2015-06-04 00:00:00+08:00,150771.6323258225
2015-06-05 00:00:00+08:00,153264.19009440552
2015-06-08 00:00:00+08:00,155076.7332866258
2015-06-09 00:00:00+08:00,155430.1474239664
2015-06-10 00:00:00+08:00,157724.13922906155
2015-06-11 00:00:00+08:00,157406.41166372213
2015-06-12 00:00:00+08:00,158733.5248250643
2015-06-15 00:00:00+08:00,158134.907773244
2015-06-16 00:00:00+08:00,155083.62797793755
2015-06-17 00:00:00+08:00,155103.2266701077
2015-06-18 00:00:00+08:00,152499.508797219
2015-06-19 00:00:00+08:00,148452.371430084
2015-06-23 00:00:00+08:00,148079.35512364
2015-06-24 00:00:00+08:00,146589.0989521096
2015-06-25 00:00:00+08:00,145516.7430666974
2015-06-26 00:00:00+08:00,142917.3378148854
2015-06-29 00:00:00+08:00,138299.79670954793
2015-06-30 00:00:00+08:00,137937.68096724252
2015-07-01 00:00:00+08:00,135448.41514392343
2015-07-02 00:00:00+08:00,132365.96089520352
2015-07-03 00:00:00+08:00,129356.46188332081
2015-07-06 00:00:00+08:00,127637.54410703079
2015-07-07 00:00:00+08:00,125277.56181187717
2015-07-08 00:00:00+08:00,121296.68992081408
2015-07-09 00:00:00+08:00,122779.00891479047
2015-07-10 00:00:00+08:00,123132.85097409983
2015-07-13 00:00:00+08:00,122788.53530656274
2015-07-14 00:00:00+08:00,124370.1583559119
2015-07-15 00:00:00+08:00,124858.68217520507
2015-07-16 00:00:00+08:00,123869.88845565054
