Date,600028.SS,600030.SS,600031.SS,600036.SS,600048.SS,600050.SS,600089.SS,600104.SS,600111.SS,600150.SS,600276.SS,600309.SS,600406.SS,600436.SS,600438.SS,600519.SS,600690.SS,600809.SS,600887.SS,600893.SS,600900.SS,600905.SS,601012.SS,601088.SS,601166.SS,601225.SS,601288.SS,601318.SS,601390.SS,601398.SS,601601.SS,601628.SS,601633.SS,601668.SS,601669.SS,601728.SS,601857.SS,601888.SS,601899.SS,601919.SS,601988.SS,603259.SS,603288.SS,603501.SS,603799.SS,603986.SS,688111.SS,688041.SS,688599.SS,688981.SS
2015-03-04 00:00:00+08:00,3.3232829570770264,21.54718589782715,7.309882640838623,9.727018356323242,6.485379695892334,4.580366611480713,7.150228977203369,15.112318992614746,16.536888122558594,36.1202278137207,9.662845611572266,14.594038963317871,7.9292402267456055,25.676509857177734,4.341719627380371,140.75473022460938,8.253629684448242,12.873953819274902,10.497323036193848,31.852785110473633,6.879991054534912,,2.663276433944702,9.511917114257812,8.755024909973145,3.712486505508423,1.8355811834335327,24.340185165405273,6.694616794586182,2.569551706314087,24.414278030395508,30.473649978637695,13.5318021774292,3.0788400173187256,6.762566566467285,,8.273820877075195,23.17643165588379,2.905714988708496,2.97294282913208,2.2542552947998047,,10.867403984069824,,8.115819931030273,,,,,
2015-03-05 00:00:00+08:00,3.252225637435913,21.478830337524414,7.231468200683594,9.521663665771484,6.295828819274902,4.487062931060791,7.027950763702393,14.80105209350586,16.274503707885742,35.076690673828125,9.886863708496094,14.314634323120117,7.817559242248535,25.386795043945312,4.341719627380371,139.4989776611328,8.062536239624023,13.00719928741455,10.28948974609375,30.998897552490234,6.728174209594727,,2.6153228282928467,9.304119110107422,8.533136367797852,3.674987316131592,1.789976954460144,23.69295310974121,6.7267255783081055,2.5284855365753174,23.9427547454834,30.012060165405273,12.972256660461426,3.0239500999450684,6.609066486358643,,8.114709854125977,22.86286735534668,2.8400495052337646,2.8762617111206055,2.1908366680145264,,10.916178703308105,,8.329601287841797,,,,,
2015-03-06 00:00:00+08:00,3.2576918601989746,21.349716186523438,7.266318321228027,9.617496490478516,6.255210876464844,4.419205665588379,7.109469890594482,14.432611465454102,16.517696380615234,35.076690673828125,9.776009559631348,14.55505084991455,7.997219085693359,25.1121883392334,4.341719627380371,138.0703125,7.871443748474121,12.892988204956055,10.293270111083984,30.61512565612793,6.776480197906494,,2.797915458679199,9.387240409851074,8.5775146484375,3.724987030029297,1.7956773042678833,23.62751007080078,6.566184043884277,2.5460853576660156,23.61343765258789,29.84964370727539,12.953335762023926,3.0189597606658936,6.472620487213135,,8.160172462463379,22.835603713989258,2.8728818893432617,2.9826107025146484,2.20813250541687,,10.832564353942871,,7.929750442504883,,,,,
2015-03-09 00:00:00+08:00,3.3396806716918945,21.007938385009766,7.397007465362549,10.048742294311523,6.437993049621582,4.470098495483398,7.126936912536621,14.686711311340332,16.460094451904297,37.31144714355469,9.824507713317871,14.535558700561523,8.031208038330078,25.464893341064453,4.341719627380371,144.04066467285156,8.00154972076416,12.816848754882812,10.36884593963623,30.979707717895508,6.955896854400635,,2.974053144454956,9.48074722290039,9.325591087341309,3.7499873638153076,1.8754850625991821,24.114748001098633,6.63040018081665,2.6516830921173096,24.0849609375,30.73009490966797,13.096600532531738,3.0489001274108887,6.5067315101623535,,8.251091003417969,22.76289176940918,2.8646740913391113,2.992279052734375,2.3234400749206543,,10.753596305847168,,7.581364154815674,,,,,
2015-03-10 00:00:00+08:00,3.3014190196990967,20.90920639038086,7.327307224273682,9.781778335571289,6.255210876464844,4.3937578201293945,7.237567901611328,14.58506965637207,16.42169952392578,36.425418853759766,9.939983367919922,14.581042289733887,8.128321647644043,25.386795043945312,4.341719627380371,141.23597717285156,8.143853187561035,12.842229843139648,10.293270111083984,30.979707717895508,6.928295135498047,,2.9556097984313965,9.371655464172363,9.033967971801758,3.812486410140991,1.824180006980896,23.88930320739746,6.534074306488037,2.593017816543579,23.50865936279297,30.037696838378906,12.985773086547852,3.008979558944702,6.447037220001221,,8.160172462463379,22.631105422973633,2.848257303237915,3.0261173248291016,2.2657864093780518,,11.092693328857422,,7.672418594360352,,,,,
2015-03-11 00:00:00+08:00,3.3123507499694824,20.863632202148438,7.3011698722839355,9.891303062438965,6.214592456817627,4.376794338226318,7.190986633300781,14.978918075561523,16.178510665893555,36.48448944091797,10.07162094116211,14.925424575805664,7.9923624992370605,25.822629928588867,4.341719627380371,144.3564910888672,8.957019805908203,12.918370246887207,10.270598411560059,30.624725341796875,6.900692462921143,,3.161256790161133,9.267755508422852,9.236836433410645,3.7624869346618652,1.8355811834335327,24.078384399414062,6.5180206298828125,2.616483688354492,23.7481632232666,30.379615783691406,12.937117576599121,3.0239500999450684,6.4129252433776855,,8.14501667022705,22.84469223022461,2.831840753555298,3.040619373321533,2.3119089603424072,,11.566502571105957,,7.510102272033691,,,,,
2015-03-12 00:00:00+08:00,3.3670103549957275,21.41806983947754,7.327307224273682,10.356776237487793,6.410913944244385,4.461616516113281,7.295794486999512,15.696735382080078,16.408899307250977,36.592769622802734,9.926127433776855,14.82146167755127,8.113753318786621,28.404895782470703,4.341719627380371,144.9354705810547,9.083059310913086,13.03257942199707,10.391517639160156,30.61512565612793,6.990400791168213,,2.997108221054077,9.53789234161377,10.124384880065918,3.7999870777130127,1.8925867080688477,25.016504287719727,6.5581560134887695,2.681016206741333,24.623844146728516,31.73019790649414,12.974960327148438,3.0988004207611084,6.523787498474121,,8.357165336608887,23.208242416381836,2.8564653396606445,3.055121660232544,2.4099202156066895,,11.787149429321289,,7.248812198638916,,,,,
2015-03-13 00:00:00+08:00,3.3724753856658936,21.44085693359375,7.440571308135986,10.3362398147583,6.424452781677246,4.444652080535889,7.26085901260376,15.709439277648926,16.664888381958008,36.36634826660156,9.896101951599121,14.568045616149902,8.011785507202148,28.447721481323242,4.341719627380371,142.7999725341797,9.270087242126465,13.267343521118164,10.376401901245117,30.51918601989746,7.0732102394104,,3.033073663711548,9.714519500732422,10.454044342041016,3.949986219406128,1.8925867080688477,25.067407608032227,6.694616794586182,2.681016206741333,24.511571884155273,31.345542907714844,13.32636547088623,3.118760347366333,6.592010498046875,,8.379895210266113,23.340030670166016,2.8728818893432617,3.1324667930603027,2.3926243782043457,,11.559537887573242,,7.4823899269104,,,,,
2015-03-16 00:00:00+08:00,3.4107375144958496,21.85099220275879,7.553835868835449,10.514216423034668,6.580158233642578,4.529474258422852,7.359843730926514,15.811079978942871,16.895275115966797,36.888118743896484,9.926127433776855,14.827960968017578,8.206010818481445,30.055021286010742,4.341719627380371,145.69491577148438,9.440850257873535,13.406933784484863,10.618242263793945,31.382661819458008,7.190522193908691,,3.133592128753662,9.813223838806152,10.815402030944824,3.9937350749969482,1.9153889417648315,26.714569091796875,6.734753608703613,2.698615312576294,25.357318878173828,32.285831451416016,13.453411102294922,3.1536905765533447,6.634649753570557,,8.485970497131348,23.340030670166016,2.930340051651001,3.1904752254486084,2.4099202156066895,,11.729086875915527,,7.723885536193848,,,,,
2015-03-17 00:00:00+08:00,3.465397357940674,22.481380462646484,7.832637310028076,10.548441886901855,6.708780765533447,4.614295482635498,7.447183132171631,15.957181930541992,17.03607177734375,37.70522689819336,9.787556648254395,14.522562980651855,8.307977676391602,30.541244506835938,4.341719627380371,147.9582977294922,9.477444648742676,13.629008293151855,10.727824211120605,31.94872283935547,7.218123912811279,,3.3613719940185547,9.891148567199707,10.809062957763672,4.043735504150391,1.9381910562515259,27.161813735961914,7.136109828948975,2.7162156105041504,25.31989288330078,32.06357955932617,13.553428649902344,3.238521099090576,6.881956577301025,,8.6981201171875,23.340030670166016,3.0124223232269287,3.5095231533050537,2.4272162914276123,,11.657084465026855,,7.80306339263916,,,,,
